object_id,category,reference_count,placement_count,nif_converted,nif_path,nif_size_bytes,mesh_files_count,mesh_total_size_bytes,primary_texture,all_textures,texture_count,mat_files_count,primary_mat,primary_tex_upscaled,primary_tex_original,conversion_status
Blue Candle Bulb,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGen Exit Door,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGenCollision - extra,other,13,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGen_Bed,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGen_barrel_01,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGen_barrel_02,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGen_chest_02_empty,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGen_crate_01_misc01,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGen_ship_trapdoor,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
CharGenbarrel_01_drinks,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
Com_Basket_01_POS,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
Com_Basket_01_chargen,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
Com_Basket_chargen2,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
Com_Chest_02_misc10,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
Com_Sack_02_Gold_05,meshes,3,3,False,,0,0,0,,,0,0,,False,False,not_converted
Com_Sack_02_Ingred,meshes,14,14,False,,0,0,0,,,0,0,,False,False,not_converted
Ex_De_Docks_Piling_01,meshes,4,4,True,meshes\Ex_De_Docks_Piling_01.nif,1235,3,3608,tx_rope_heavy,tx_rope_heavy; tx_wood_weathered_rings; tx_wood_wethered,3,3,Materials\morrowind\tx_rope_heavy.mat,True,True,complete
Ex_De_SN_Gate,meshes,2,2,True,meshes\Ex_De_SN_Gate.nif,1667,5,10016,tx_hinge_02,tx_hinge_02; tx_metal_rusty_lock; tx_metal_strip_02; tx_wood_dock_rings; tx_wood_siding_01,5,5,Materials\morrowind\tx_hinge_02.mat,True,True,complete
Ex_De_Shack_Door,meshes,8,8,True,meshes\Ex_De_Shack_Door.nif,1457,4,4304,tx_metal_iron_rusty,tx_metal_iron_rusty; tx_metal_rusty_lock; tx_rope_heavy; tx_wood_shack_door,4,4,Materials\morrowind\tx_metal_iron_rusty.mat,True,True,complete
Flame Light,other,3,0,False,,0,0,0,,,0,0,,False,False,not_converted
Flora_BC_Lilypad,other,22,22,True,meshes\Flora_BC_Lilypad.nif,954,2,1048,,,0,0,,False,False,partial
Flora_kelp_01,other,1,1,True,meshes\Flora_kelp_01.nif,895,2,10372,tx_kelp_01,tx_kelp_01; tx_kelp_02,2,2,Materials\morrowind\tx_kelp_01.mat,True,True,complete
Flora_kelp_02,other,5,5,True,meshes\Flora_kelp_02.nif,895,2,10372,tx_kelp_01,tx_kelp_01; tx_kelp_02,2,2,Materials\morrowind\tx_kelp_01.mat,True,True,complete
Flora_kelp_03,other,2,2,True,meshes\Flora_kelp_03.nif,1152,3,17326,tx_kelp_02,tx_kelp_02; tx_kelp_03; tx_kelp_04,3,3,Materials\morrowind\tx_kelp_02.mat,True,True,complete
Flora_kelp_04,other,3,3,True,meshes\Flora_kelp_04.nif,1152,3,14708,tx_kelp_02,tx_kelp_02; tx_kelp_03; tx_kelp_04,3,3,Materials\morrowind\tx_kelp_02.mat,True,True,complete
Furn_Com_Kegstand,meshes,8,8,True,meshes\Furn_Com_Kegstand.nif,1470,4,15348,tx_metal_iron_rusty,tx_metal_iron_rusty; tx_wood_brown_metal; tx_wood_brown_shelf; tx_wood_tan_rings_01,4,4,Materials\morrowind\tx_metal_iron_rusty.mat,True,True,complete
Furn_Com_Planter,meshes,5,5,True,meshes\Furn_Com_Planter.nif,1182,3,4492,tx_bc_bank,tx_bc_bank; tx_redware_strip_01; tx_redware_strip_02,3,3,Materials\morrowind\tx_bc_bank.mat,True,True,complete
Furn_Com_RM_Bar_01,meshes,3,3,False,,0,0,0,,,0,0,,False,False,not_converted
Furn_Com_RM_Bar_02,meshes,2,2,False,,0,0,0,,,0,0,,False,False,not_converted
Furn_Com_RM_Bar_03,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
Furn_Com_RM_Bar_04,meshes,2,2,False,,0,0,0,,,0,0,,False,False,not_converted
Furn_De_Rope_06_UNIQUE,meshes,8,8,False,,0,0,0,,,0,0,,False,False,not_converted
Furn_de_rug_big_03,meshes,2,2,False,,0,0,0,,,0,0,,False,False,not_converted
Gold_025,other,1,1,True,meshes\Gold_025.nif,864,2,6716,tx_coinside_01,tx_coinside_01; tx_cointop_01,2,2,Materials\morrowind\tx_coinside_01.mat,True,True,complete
Gold_100,other,1,1,True,meshes\Gold_100.nif,864,2,29928,tx_coinside_01,tx_coinside_01; tx_cointop_01,2,2,Materials\morrowind\tx_coinside_01.mat,True,True,complete
Imperial Guard,other,4,0,False,,0,0,0,,,0,0,,False,False,not_converted
In_Lava_Blacksquare,meshes,1,1,True,meshes\In_Lava_Blacksquare.nif,655,1,216,door_icon,door_icon,1,1,Materials\morrowind\door_icon.mat,True,True,complete
Key_SN_Warehouse,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
Light_Com_Candle_01,meshes,1,1,True,meshes\Light_Com_Candle_01.nif,1686,2,3522,tx_firealpha01,tx_firealpha01; tx_metal_iron_rusty; tx_wax_tan_03,3,3,Materials\morrowind\tx_firealpha01.mat,True,True,complete
Light_Com_Candle_01_64,meshes,7,7,False,,0,0,0,,,0,0,,False,False,not_converted
Light_Com_Candle_11,meshes,4,4,True,meshes\Light_Com_Candle_11.nif,1596,2,3954,tx_firealpha03,tx_firealpha03; tx_hinge_02; tx_wax_aqua_02,3,3,Materials\morrowind\tx_firealpha03.mat,True,True,complete
Light_Com_Candle_12,meshes,1,1,True,meshes\Light_Com_Candle_12.nif,1694,2,3280,tx_firealpha03,tx_firealpha03; tx_metal_pewter_03; tx_wax_aqua_02,3,3,Materials\morrowind\tx_firealpha03.mat,True,True,complete
Light_Com_Candle_12_Off,meshes,2,2,False,,0,0,0,,,0,0,,False,False,not_converted
Light_Fire,meshes,1,1,True,meshes\Light_Fire.nif,1143,2,384,tx_firealpha10,tx_firealpha10; tx_fireash00; tx_firespark00; tx_smokealpha00,4,4,Materials\morrowind\tx_firealpha10.mat,True,True,complete
Light_Fire_NoSmoke,meshes,3,3,True,meshes\Light_Fire_NoSmoke.nif,1072,1,192,tx_firealpha10,tx_firealpha10; tx_fireash00; tx_firespark00,3,3,Materials\morrowind\tx_firealpha10.mat,True,True,complete
Misc_Com_Bottle_04,meshes,3,3,True,meshes\Misc_Com_Bottle_04.nif,1474,4,5870,tx_cork_01,tx_cork_01; tx_glass_bottle_green; tx_glass_bottle_green_01; tx_wicker_tan,4,4,Materials\morrowind\tx_cork_01.mat,True,True,complete
Misc_Com_Bottle_08,meshes,8,8,True,meshes\Misc_Com_Bottle_08.nif,1202,3,4446,tx_cork_01,tx_cork_01; tx_glass_bottle_green; tx_glass_bottle_green_01,3,3,Materials\morrowind\tx_cork_01.mat,True,True,complete
Misc_Com_Bottle_14,meshes,12,12,True,meshes\Misc_Com_Bottle_14.nif,1202,3,4446,tx_cork_01,tx_cork_01; tx_glass_bottle_brown; tx_glass_bottle_brown_01,3,3,Materials\morrowind\tx_cork_01.mat,True,True,complete
Misc_Com_Pitcher_Metal_01,meshes,9,9,True,meshes\Misc_Com_Pitcher_Metal_01.nif,662,1,3666,tx_metal_pewter_04,tx_metal_pewter_04,1,1,Materials\morrowind\tx_metal_pewter_04.mat,True,True,complete
Misc_Com_Redware_Cup,meshes,6,6,False,,0,0,0,,,0,0,,False,False,not_converted
Misc_Com_Wood_Bowl_01,meshes,7,7,True,meshes\Misc_Com_Wood_Bowl_01.nif,646,1,2322,tx_wood_interior_plain_01,tx_wood_interior_plain_01,1,1,Materials\morrowind\tx_wood_interior_plain_01.mat,True,True,complete
Misc_Com_Wood_Bowl_05,meshes,3,3,True,meshes\Misc_Com_Wood_Bowl_05.nif,635,1,2684,tx_wood_cherry,tx_wood_cherry,1,1,Materials\morrowind\tx_wood_cherry.mat,True,True,complete
Misc_Imp_Silverware_Bowl,meshes,2,2,False,,0,0,0,,,0,0,,False,False,not_converted
Misc_Imp_Silverware_Cup_01,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
Misc_Inkwell,meshes,1,1,True,meshes\Misc_Inkwell.nif,1155,3,6276,tx_glass_6th_blackblock,tx_glass_6th_blackblock; tx_metal_silver_strip_01; tx_metal_silver_strip_02,3,3,Materials\morrowind\tx_glass_6th_blackblock.mat,True,True,complete
Misc_Quill,meshes,1,1,True,meshes\Misc_Quill.nif,596,1,3808,tx_quill,tx_quill,1,1,Materials\morrowind\tx_quill.mat,True,True,complete
NorthMarker,other,13,0,False,,0,0,0,,,0,0,,False,False,not_converted
Potion_Cyro_Whiskey_01,other,1,1,True,meshes\Potion_Cyro_Whiskey_01.nif,960,2,5336,tx_bottle_09,tx_bottle_09; tx_metal_silver_strip_02,2,2,Materials\morrowind\tx_bottle_09.mat,True,True,complete
Potion_Local_Brew_01,other,9,9,True,meshes\Potion_Local_Brew_01.nif,944,2,4304,tx_cork_01,tx_cork_01; tx_crock_01,2,2,Materials\morrowind\tx_cork_01.mat,True,True,complete
PrisonMarker,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
Sound_Boat_Creak00,other,6,0,False,,0,0,0,,,0,0,,False,False,not_converted
a_siltstrider,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
active_chimney_smoke02,meshes,3,3,False,,0,0,0,,,0,0,,False,False,not_converted
active_com_bed_02,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_com_bed_03,meshes,3,3,False,,0,0,0,,,0,0,,False,False,not_converted
active_com_bed_05,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_com_bunk_02,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_de_bed_30,meshes,3,3,True,meshes\active_de_bed_30.nif,1455,4,14624,tx_metal_strip_02,tx_metal_strip_02; tx_rope_heavy_01; tx_rope_woven_01; tx_wood_weathered_rings_01; tx_wood_wethered,5,5,Materials\morrowind\tx_metal_strip_02.mat,True,True,complete
active_de_bedroll,meshes,1,1,True,meshes\active_de_bedroll.nif,1203,3,6476,tx_fabric_6th_bedroll,tx_fabric_6th_bedroll; tx_fabric_6th_bedroll_01; tx_wicker_brown_02,3,3,Materials\morrowind\tx_fabric_6th_bedroll.mat,True,True,complete
active_lookout_unique,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_sign_balmora_01,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_sign_ebonheart_01,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_sign_gnaar_mok_02,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_sign_hla_oad_02,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_sign_pelagiad_01,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_sign_seydaneen_01,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
active_sign_vivec_02,meshes,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
adraria vandacia,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
albecius colollius,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
apparatus_a_mortar_01,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
arrille,other,1,0,False,,0,0,0,,,0,0,,False,False,not_converted
barrel_01,other,2,2,True,meshes\barrel_01.nif,895,2,19106,,,0,0,,False,False,partial
barrel_01_Ingredients,other,8,8,False,,0,0,0,,,0,0,,False,False,not_converted
barrel_01_arrows,other,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
barrel_01_cheapfood20,other,3,3,False,,0,0,0,,,0,0,,False,False,not_converted
barrel_01_cheapfood5,other,5,5,False,,0,0,0,,,0,0,,False,False,not_converted
barrel_01_empty,other,5,5,False,,0,0,0,,,0,0,,False,False,not_converted
barrel_01_pos,other,1,1,False,,0,0,0,,,0,0,,False,False,not_converted
barrel_01_random_pos,other,2,2,False,,0,0,0,,,0,0,,False,False,not_converted
