texture_name,original_path,original_exists,original_size_bytes,upscaled_path,upscaled_exists,upscaled_size_bytes,mat_exists,mat_path,used_by_mesh_count,used_by_meshes
door_icon,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\door_icon.dds,True,448,textures_upscaled\door_icon.dds,True,1520,True,Materials\morrowind\door_icon.mat,1,In_Lava_Blacksquare
tx_ash_firepit,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_ash_firepit.dds,True,11040,textures_upscaled\tx_ash_firepit.dds,True,87536,True,Materials\morrowind\tx_ash_firepit.mat,1,furn_de_firepit
tx_ashpile00,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_ashpile00.dds,True,11040,textures_upscaled\tx_ashpile00.dds,True,87536,True,Materials\morrowind\tx_ashpile00.mat,1,furn_firepit00
tx_bc_bank,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_bank.dds,True,43808,textures_upscaled\tx_bc_bank.dds,True,349680,True,Materials\morrowind\tx_bc_bank.mat,1,Furn_Com_Planter
tx_bc_bark_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_bark_01.dds,True,43808,textures_upscaled\tx_bc_bark_01.dds,True,349680,True,Materials\morrowind\tx_bc_bark_01.mat,7,flora_bc_knee_01; flora_bc_knee_02; flora_bc_knee_03; flora_bc_knee_04; flora_bc_tree_04; flora_bc_tree_06; flora_bc_tree_12
tx_bc_bark_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_bark_02.dds,True,43808,textures_upscaled\tx_bc_bark_02.dds,True,349680,True,Materials\morrowind\tx_bc_bark_02.mat,6,flora_bc_log_01; flora_bc_tree_02; flora_bc_tree_04; flora_bc_tree_06; flora_bc_tree_08; flora_bc_tree_13
tx_bc_bark_03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_bark_03.dds,True,43808,textures_upscaled\tx_bc_bark_03.dds,True,349680,True,Materials\morrowind\tx_bc_bark_03.mat,3,flora_bc_tree_09; flora_bc_tree_10; flora_bc_tree_11
tx_bc_bark_04,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_bark_04.dds,True,11008,textures_upscaled\tx_bc_bark_04.dds,True,87568,True,Materials\morrowind\tx_bc_bark_04.mat,4,flora_bc_tree_02; flora_bc_tree_04; flora_bc_tree_06; flora_bc_tree_08
tx_bc_fern_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_fern_01.dds,True,11008,textures_upscaled\tx_bc_fern_01.dds,True,43856,True,Materials\morrowind\tx_bc_fern_01.mat,2,flora_bc_fern_03; flora_bc_fern_04
tx_bc_fern_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_fern_02.dds,True,43776,textures_upscaled\tx_bc_fern_02.dds,True,174928,True,Materials\morrowind\tx_bc_fern_02.mat,2,flora_bc_fern_01; flora_bc_fern_02
