cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
Seyda Neen,Ex_De_Shack_Door,True,-12194.208,-74208.766,911.057,-609710.4,-3710438.3000000003,45552.85,0.0,0.0,233.89999310074379,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,"Seyda Neen, Lighthouse"
Seyda Neen,Ex_De_Shack_Door,True,-12182.086,-74450.46,369.255,-609104.2999999999,-3722523.0000000005,18462.75,356.2999928462898,357.9999930019107,325.59999745070814,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,"Seyda Neen, Lighthouse"
Seyda Neen,ex_common_lighthouse,True,-12285.851,-74342.47,1132.1985,-614292.55,-3717123.5,56609.924999999996,0.0,0.0,324.350823406608,True,Data\Materials\morrowind\tx_stone_bluegrey.mat,
Seyda Neen,ex_common_plat_end,True,-11994.554,-74763.78,261.3846,-599727.7,-3738189.0,13069.23,0.0,0.0,58.72818546006528,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_common_plat_cent,True,-12127.446,-74544.98,261.3846,-606372.3,-3727249.0,13069.23,0.0,0.0,238.72825114453173,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_common_plat_end,True,-11833.769,-74480.81,128.46988,-591688.45,-3724040.5,6423.494,0.0,0.0,148.7281495473631,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_common_plat_cent,True,-11614.961,-74347.92,128.46988,-580748.0499999999,-3717396.0,6423.494,0.0,0.0,148.7281495473631,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_common_plat_end,True,-11396.161,-74215.03,128.46988,-569808.05,-3710751.5,6423.494,0.0,0.0,328.72826106845315,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_de_docks_steps_01,True,-11903.208,-74537.03,217.84215,-595160.4,-3726851.5,10892.1075,0.0,0.0,325.62251469205677,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_common_plat_cent,True,-11238.716,-73981.41,120.0,-561935.8,-3699070.5,6000.0,0.0,0.0,60.274575630811576,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_common_plat_end,True,-11111.769,-74203.72,120.0,-555588.45,-3710186.0,6000.0,0.0,0.0,60.274575630811576,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_common_plat_end,True,-11365.643,-73759.11,120.0,-568282.15,-3687955.5,6000.0,0.0,0.0,240.27460693781032,True,Data\Materials\morrowind\tx_wood_dock_rings.mat,
Seyda Neen,ex_com_dframe_lthus,True,-12182.434,-74451.81,296.2754,-609121.7,-3722590.5,14813.77,0.0,0.0,57.29580243139413,True,Data\Materials\morrowind\tx_wood_grey_planks_01.mat,
Seyda Neen,light_com_lantern_02,True,-12214.756,-74514.87,400.299,-610737.7999999999,-3725743.5,20014.949999999997,0.0,0.0,327.0320252455463,True,Data\Materials\morrowind\tx_firealpha01.mat,
Seyda Neen,furn_com_lantern_hook,True,-12221.741,-74508.09,396.6402,-611087.05,-3725404.5,19832.01,0.0,0.0,327.0320252455463,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
Seyda Neen,light_com_lantern_02,True,-12131.929,-74241.2,952.48956,-606596.45,-3712060.0,47624.478,0.0,0.0,233.35356325152753,True,Data\Materials\morrowind\tx_firealpha01.mat,
Seyda Neen,furn_com_lantern_hook,True,-12138.052,-74248.68,948.83075,-606902.6,-3712433.9999999995,47441.5375,0.0,0.0,233.35356325152753,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
Seyda Neen,terrain_rock_bc_17,True,-12702.852,-75327.03,-103.00654,-635142.6000000001,-3766351.5,-5150.327,0.0,0.0,48.701359301045024,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_16,True,-14164.946,-75479.91,152.28386,-708247.3,-3773995.5,7614.193,0.0,0.0,148.96902673401405,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_13,True,-14088.766,-75651.336,121.139465,-704438.2999999999,-3782566.8,6056.97325,0.0,0.0,272.1548724730497,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_14,True,-11574.294,-74212.445,2.096087,-578714.7,-3710622.2500000005,104.80434999999999,0.0,0.0,104.09575717154729,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_17,True,-13590.221,-75065.125,97.03859,-679511.0499999999,-3753256.25,4851.9295,0.0,0.0,88.80840667907604,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_17,True,-14298.728,-75233.68,38.647964,-714936.3999999999,-3761683.9999999995,1932.3982,0.0,0.0,140.37460251127217,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_14,True,-12942.958,-74420.72,285.6182,-647147.9,-3721036.0,14280.91,0.0,0.0,332.31545242094205,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_17,True,-12320.663,-74748.77,135.24803,-616033.15,-3737438.5,6762.4015,0.0,0.0,11.459117514444191,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_17,True,-11405.441,-75700.7,-1.054616,-570272.05,-3785035.0,-52.7308,0.0,0.0,94.53797890080632,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_17,True,-12613.036,-73917.234,341.352,-630651.8,-3695861.6999999997,17067.6,0.0,0.0,94.53797890080632,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_16,True,-13763.001,-73945.0,6.2953634,-688150.05,-3697250.0,314.76817,0.0,0.0,45.836603556943025,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
Seyda Neen,terrain_rock_bc_18,True,-11182.829,-75752.15,19.37989,-559141.45,-3787607.4999999995,968.9945,0.0,0.0,179.5182826632748,True,Data\Materials\morrowind\tx_bc_rock_03.mat,
