cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Census and Excise Office",ex_nord_door_01,True,-176.0,-145.14055,306.80164,-8800.0,-7257.027499999999,15340.082,0.0,0.0,270.0000011238745,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Census and Excise Office",ex_nord_door_01,True,1151.4413,-260.26938,302.7736,57572.064999999995,-13013.469000000001,15138.68,0.0,0.0,0.0,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_corner,True,192.0,-384.0,192.0,9600.0,-19200.0,9600.0,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_corner,True,-64.0,128.0,192.0,-3200.0,6400.0,9600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_corner,True,1424.0,-368.0,192.0,71200.0,-18400.0,9600.0,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_hall_small,True,192.0,640.0,192.0,9600.0,32000.0,9600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_hall_small,True,192.0,384.0,192.0,9600.0,19200.0,9600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_side,True,192.0,128.0,192.0,9600.0,6400.0,9600.0,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",in_c_pillar_wood,True,64.0,256.0,192.0,3200.0,12800.0,9600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_interior_plain.mat,
"Seyda Neen, Census and Excise Office",in_c_pillar_wood,True,320.0,768.0,192.0,16000.0,38400.0,9600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_interior_plain.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_corner,True,704.0,640.0,192.0,35200.0,32000.0,9600.0,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_corner,True,448.0,640.0,192.0,22400.0,32000.0,9600.0,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",in_c_djamb_plain_square,True,192.0,256.0,192.0,9600.0,12800.0,9600.0,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_corner,True,-64.0,-384.0,192.0,-3200.0,-19200.0,9600.0,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_corner,True,1424.0,-624.0004,192.0,71200.0,-31200.02,9600.0,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",in_nord_fireplace_01,True,-48.003784,-495.94476,464.4063,-2400.1892000000003,-24797.237999999998,23220.315,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_metal_strip_01.mat,
"Seyda Neen, Census and Excise Office",in_c_plain_room_side,True,192.0,-128.0,192.0,9600.0,-6400.0,9600.0,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Office",furn_com_coatofarms_01,True,299.17456,-0.24523544,319.81433,14958.728,-12.261772,15990.716499999999,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_wood_brown_shield.mat,
"Seyda Neen, Census and Excise Office",furn_com_r_table_01,False,200.42757,-196.48296,226.7231,10021.3785,-9824.148,11336.154999999999,0.0,0.0,180.000002659109,True,,
"Seyda Neen, Census and Excise Office",furn_com_coatofarms_01,True,299.17456,-255.51575,319.81433,14958.728,-12775.7875,15990.716499999999,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_wood_brown_shield.mat,
"Seyda Neen, Census and Excise Office",furn_com_r_chair_01,False,220.92397,-287.85068,236.95192,11046.1985,-14392.534,11847.596,0.0,0.0,135.00000056193724,True,,
"Seyda Neen, Census and Excise Office",furn_com_rm_bench_02,False,1080.0581,-494.20123,209.80594,54002.905,-24710.0615,10490.297,0.0,0.0,270.0000011238745,True,,
"Seyda Neen, Census and Excise Office",furn_com_rm_table_05,False,-147.17726,199.13431,219.74495,-7358.862999999999,9956.7155,10987.2475,0.0,0.0,0.0,True,,
"Seyda Neen, Census and Excise Office",furn_com_rm_shelf_01,False,-167.80106,65.86841,305.5153,-8390.053,3293.4204999999997,15275.765000000001,0.0,0.0,270.0000297717642,True,,
"Seyda Neen, Census and Excise Office",misc_com_bucket_01,True,62.86047,-465.38297,206.94522,3143.0235,-23269.1485,10347.261,0.0,0.0,120.32115989578467,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Census and Excise Office",misc_com_broom_01,True,29.313063,-457.50073,251.65154,1465.65315,-22875.0365,12582.577000000001,0.0,10.62253209749116,90.00000419434348,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Census and Excise Office",misc_com_redware_vase,False,-166.38275,25.156723,345.12082,-8319.137499999999,1257.83615,17256.040999999997,0.0,0.0,180.00001984784282,True,,
"Seyda Neen, Census and Excise Office",light_com_candle_02_64,False,234.24619,-170.0302,278.25,11712.309500000001,-8501.51,13912.5,0.0,0.0,0.0,True,,
"Seyda Neen, Census and Excise Office",misc_com_metal_goblet_01,True,209.97414,-200.88597,268.0173,10498.707,-10044.298499999999,13400.864999999998,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_pewter_04.mat,
"Seyda Neen, Census and Excise Office",misc_com_bottle_09,True,224.305,-212.041,277.116,11215.25,-10602.05,13855.8,0.0,0.0,34.35915597671701,True,Data\Materials\morrowind\tx_glass_bottle_green.mat,
"Seyda Neen, Census and Excise Office",furn_com_r_bookshelf_01,False,193.0481,-471.3176,285.87744,9652.405,-23565.88,14293.872,0.0,0.0,180.000002659109,True,,
"Seyda Neen, Census and Excise Office",Misc_Com_Bottle_14,True,160.87439,-463.41275,345.26505,8043.7195,-23170.6375,17263.2525,0.0,0.0,353.43384596066124,True,Data\Materials\morrowind\tx_cork_01.mat,
