cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Census and Excise Warehouse",ex_nord_door_01,True,-377.856,784.672,364.777,-18892.8,39233.6,18238.85,0.0,0.0,270.0000011238745,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Census and Excise Warehouse",ex_nord_door_01,True,-32.619,136.842,108.459,-1630.95,6842.1,5422.95,0.0,0.0,0.0,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_stone_corner,True,-528.0,-224.0,0.0,-26400.0,-11200.0,0.0,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_common_stone_floor.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_stone_hall_small,True,-272.0,-224.0,0.0,-13600.0,-11200.0,0.0,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_common_stone_floor.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_stone_endcap,True,-528.0,32.0,0.0,-26400.0,1600.0,0.0,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_common_stone_floor.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_plain_hall_small,True,-16.0,544.0,256.0,-800.0,27200.0,12800.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_plain_hall_small,True,-16.0,32.0,256.0,-800.0,1600.0,12800.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_plain_hall_small,True,-16.0,288.0,256.0,-800.0,14400.0,12800.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_plain_3way,True,-16.0,800.0,256.0,-800.0,40000.0,12800.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_plain_corner,True,-272.0,1056.0,256.0,-13600.0,52800.0,12800.0,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_plain_corner,True,-16.0,1056.0,256.0,-800.0,52800.0,12800.0,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_plain_3way,True,-272.0,800.0,256.0,-13600.0,40000.0,12800.0,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_djamb_plain_square,True,-400.0,800.0,256.0,-20000.0,40000.0,12800.0,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",ex_nord_win_01,True,-531.2263,158.92238,135.41336,-26561.315000000002,7946.119000000001,6770.668000000001,0.0,0.0,360.0000110477959,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Census and Excise Warehouse",ex_nord_win_01,True,-655.8124,24.17295,135.41336,-32790.62,1208.6475,6770.668000000001,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Census and Excise Warehouse",in_common_tower_thatch,True,240.0,-224.0,0.0,12000.0,-11200.0,0.0,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_carvedwood_beam_01.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_plain_3way,True,-16.0,32.0,0.0,-800.0,1600.0,0.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
"Seyda Neen, Census and Excise Warehouse",in_c_djamb_plain_square,True,-16.0,160.0,0.0,-800.0,8000.0,0.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_carvedwood_detail_knots.mat,
