cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Draren Thiralas' House",ex_nord_door_01,True,-87.572,-144.0,-16.0,-4378.6,-7200.0,-800.0,0.0,0.0,180.000002659109,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Draren Thiralas' House",in_nord_house_03,True,0.0,0.0,128.0,0.0,0.0,6400.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_thatch_01.mat,
"Seyda Neen, Draren Thiralas' House",in_nord_doorf_01,True,-103.5716,-160.0,-32.0,-5178.58,-8000.0,-1600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Draren Thiralas' House",light_com_chandelier_01,True,-4.310633,30.254011,104.73641,-215.53165,1512.70055,5236.820500000001,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_firealpha01.mat,
"Seyda Neen, Draren Thiralas' House",in_nord_fireplace_01,True,-239.72527,127.20404,144.86879,-11986.2635,6360.202,7243.4394999999995,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_strip_01.mat,
"Seyda Neen, Draren Thiralas' House",com_cupboard_01_pos,False,-88.12679,208.22308,12.011313,-4406.3395,10411.154,600.56565,0.0,0.0,0.0,True,,
"Seyda Neen, Draren Thiralas' House",misc_com_bucket_01,True,-221.10406,19.680733,-108.579956,-11055.203,984.03665,-5428.9978,0.0,0.0,217.72394496097897,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Draren Thiralas' House",misc_com_broom_01,True,-169.8096,201.2303,-67.25388,-8490.48,10061.515,-3362.694,197.18875370176752,180.000002659109,270.0000011238745,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Draren Thiralas' House",furn_com_p_table_01,False,136.31174,-96.26974,-92.43889,6815.5869999999995,-4813.487,-4621.9445,0.0,0.0,354.27043882606563,True,,
"Seyda Neen, Draren Thiralas' House",furn_com_p_bench_01,False,124.88974,-33.6755,-104.20113,6244.487,-1683.775,-5210.056500000001,0.0,0.0,354.27043882606563,True,,
"Seyda Neen, Draren Thiralas' House",misc_com_bottle_11,True,98.4375,-121.45782,-43.6601,4921.875,-6072.891,-2183.005,0.0,0.0,103.13241458270409,True,Data\Materials\morrowind\tx_glass_bottle_brown.mat,
"Seyda Neen, Draren Thiralas' House",misc_com_bottle_11,True,181.86258,-93.262054,-43.6601,9093.129,-4663.1027,-2183.005,0.0,0.0,274.0563704260622,True,Data\Materials\morrowind\tx_glass_bottle_brown.mat,
"Seyda Neen, Draren Thiralas' House",Misc_Com_Wood_Bowl_01,True,127.222,-71.732,-56.995,6361.099999999999,-3586.6,-2849.75,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Draren Thiralas' House",misc_com_wood_knife,True,113.37097,-74.33735,-59.12993,5668.5485,-3716.8675,-2956.4965,0.0,0.0,80.2140970478932,True,Data\Materials\morrowind\tx_metal_pewter_01.mat,
"Seyda Neen, Draren Thiralas' House",misc_com_wood_fork,True,144.85474,-72.83906,-58.690456,7242.736999999999,-3641.953,-2934.5227999999997,0.0,0.0,91.67324722093173,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Draren Thiralas' House",misc_com_wood_spoon_01,True,107.40528,-73.68363,-58.97209,5370.264,-3684.1814999999997,-2948.6045,0.0,0.0,74.48452482616293,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Draren Thiralas' House",Com_Sack_02_Ingred,False,217.86693,13.968481,-96.272484,10893.3465,698.4240500000001,-4813.6242,0.0,0.0,325.62254906952444,True,,
"Seyda Neen, Draren Thiralas' House",furn_log_01,True,-219.8428,121.94454,-96.749626,-10992.140000000001,6097.227,-4837.4813,0.0,0.0,11.45915532965867,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Draren Thiralas' House",misc_com_redware_pitcher,False,180.37122,-109.63216,-42.84321,9018.561,-5481.608,-2142.1605,0.0,0.0,45.83662934004381,True,,
"Seyda Neen, Draren Thiralas' House",ex_nord_win_01,True,45.73105,-170.03885,25.71461,2286.5525000000002,-8501.9425,1285.7305000000001,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Draren Thiralas' House",ex_nord_win_01,True,164.55093,-170.03885,25.71461,8227.5465,-8501.9425,1285.7305000000001,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Draren Thiralas' House",barrel_01_cheapfood5,False,-222.31151,-121.374405,-93.00099,-11115.575499999999,-6068.720249999999,-4650.0495,0.0,0.0,0.0,True,,
"Seyda Neen, Draren Thiralas' House",active_com_bed_03,False,130.92413,142.26118,-97.58295,6546.206499999999,7113.059,-4879.1475,0.0,0.0,0.0,True,,
"Seyda Neen, Draren Thiralas' House",misc_uni_pillow_01,False,200.01654,142.39252,-70.78,10000.827,7119.625999999999,-3539.0,0.0,0.0,178.59999747544066,True,,
"Seyda Neen, Draren Thiralas' House",Misc_Com_Bottle_14,True,-72.46107,213.12413,56.022057,-3623.0535000000004,10656.2065,2801.1028499999998,0.0,0.0,246.37183471752013,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Draren Thiralas' House",Misc_Com_Bottle_14,True,-60.64945,208.57738,56.022057,-3032.4725,10428.869,2801.1028499999998,0.0,0.0,108.86199253401232,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Draren Thiralas' House",furn_com_cauldron_01,True,-158.8479,117.64622,-82.19893,-7942.395,5882.311,-4109.9465,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_iron_rusty.mat,
"Seyda Neen, Draren Thiralas' House",furn_log_01,True,-224.26167,116.70958,-107.15062,-11213.0835,5835.479,-5357.531,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Draren Thiralas' House",furn_log_01,True,-212.34831,122.02503,-107.15062,-10617.4155,6101.2515,-5357.531,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Draren Thiralas' House",misc_com_iron_ladle,True,-152.02678,119.647156,-105.73394,-7601.339,5982.3578,-5286.697,0.0,0.0,331.3521499391445,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Draren Thiralas' House",misc_com_redware_plate,False,162.06848,-93.10765,-57.96865,8103.424,-4655.382500000001,-2898.4325,0.0,0.0,0.0,True,,
"Seyda Neen, Draren Thiralas' House",misc_com_wood_cup_01,True,118.29115,-90.183784,-53.04029,5914.5575,-4509.1892,-2652.0144999999998,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Draren Thiralas' House",Light_Com_Candle_01_64,False,137.54636,-107.028496,-52.02,6877.317999999999,-5351.4248,-2601.0,0.0,0.0,291.20001250151006,True,,
"Seyda Neen, Draren Thiralas' House",com_sack_01_saltrice_5,False,-28.607477,174.85655,-104.632195,-1430.37385,8742.8275,-5231.60975,0.0,0.0,189.07608385232757,True,,
"Seyda Neen, Draren Thiralas' House",com_sack_01_saltrice_5,False,-27.60013,173.15392,-119.04822,-1380.0065,8657.696,-5952.411,0.0,0.0,0.0,True,,
"Seyda Neen, Draren Thiralas' House",com_sack_03_chpfood5,False,-101.942764,196.86456,-92.449684,-5097.138199999999,9843.228000000001,-4622.4842,22.918315815937493,0.0,268.3268211226437,True,,
