cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Eldafire's House",ex_nord_door_01,True,144.0,-352.0,0.0,7200.0,-17600.0,0.0,0.0,0.0,180.000002659109,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Eldafire's House",in_nord_house_02,True,0.0,0.0,128.0,0.0,0.0,6400.0,0.0,0.0,0.0,True,Data\Materials\morrowind\_left_01.mat,
"Seyda Neen, Eldafire's House",in_nord_fireplace_01,True,-371.0041,-51.58654,142.69806,-18550.204999999998,-2579.3269999999998,7134.903,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_strip_01.mat,
"Seyda Neen, Eldafire's House",in_nord_fireplace_01,True,359.78528,11.324521,142.69806,17989.264,566.22605,7134.903,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_metal_strip_01.mat,
"Seyda Neen, Eldafire's House",ex_nord_win_01,True,-280.99316,-184.86491,31.586327,-14049.658,-9243.2455,1579.31635,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Eldafire's House",ex_nord_win_01,True,-156.45407,-184.86491,31.586327,-7822.7035,-9243.2455,1579.31635,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Eldafire's House",in_nord_doorf_01,True,128.0,-368.0,-16.0,6400.0,-18400.0,-800.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Eldafire's House",Com_Sack_02_Gold_05,False,-284.30948,-134.72383,-99.627365,-14215.474,-6736.1915,-4981.3682499999995,0.0,0.0,314.1634275443757,True,,
"Seyda Neen, Eldafire's House",Com_Sack_02_Ingred,False,-241.52988,-113.620384,-99.627365,-12076.493999999999,-5681.0192,-4981.3682499999995,0.0,0.0,0.0,True,,
"Seyda Neen, Eldafire's House",com_sack_01_ingred,False,-171.71774,-129.63478,-117.779434,-8585.886999999999,-6481.7390000000005,-5888.9717,0.0,0.0,342.81130584176094,True,,
"Seyda Neen, Eldafire's House",com_sack_01_saltrice_10,False,-169.46643,-130.45734,-103.367775,-8473.3215,-6522.866999999999,-5168.38875,0.0,0.0,0.0,True,,
"Seyda Neen, Eldafire's House",com_basket_01_chpfood5,False,266.19934,-257.64395,-85.59207,13309.967,-12882.1975,-4279.6035,0.0,0.0,154.6986046853223,True,,
"Seyda Neen, Eldafire's House",furn_com_p_table_01,False,120.85969,-5.7472386,-91.84909,6042.9845000000005,-287.36193000000003,-4592.4545,0.0,0.0,268.3268211226437,True,,
"Seyda Neen, Eldafire's House",furn_com_p_bench_01,False,57.823578,-3.0309105,-108.73558,2891.1789,-151.545525,-5436.7789999999995,0.0,0.0,268.3268211226437,True,,
"Seyda Neen, Eldafire's House",furn_com_p_bench_01,False,183.67374,-0.65483254,-109.30038,9183.687,-32.741627,-5465.019,0.0,0.0,90.70991609124441,True,,
"Seyda Neen, Eldafire's House",com_cupboard_tankard,False,259.42392,195.47884,14.729834,12971.196,9773.942,736.4917,0.0,0.0,0.0,True,,
"Seyda Neen, Eldafire's House",com_cupboard_wood_bowls,False,135.19536,198.28177,14.91837,6759.768,9914.0885,745.9185,0.0,0.0,0.0,True,,
"Seyda Neen, Eldafire's House",furn_com_p_shelf_03,False,370.25702,139.33801,-14.920986,18512.851000000002,6966.9005,-746.0492999999999,0.0,0.0,90.00000419434348,True,,
"Seyda Neen, Eldafire's House",misc_com_redware_flask,False,303.29233,-264.52347,11.183714,15164.6165,-13226.173499999999,559.1857,0.0,0.0,0.0,True,,
"Seyda Neen, Eldafire's House",misc_com_redware_flask,False,300.02798,-239.9044,11.183714,15001.399000000001,-11995.220000000001,559.1857,0.0,0.0,0.0,True,,
"Seyda Neen, Eldafire's House",misc_com_redware_flask,False,306.84534,-248.27423,11.183714,15342.267000000002,-12413.7115,559.1857,0.0,0.0,0.0,True,,
"Seyda Neen, Eldafire's House",Misc_Com_Pitcher_Metal_01,True,111.63307,21.83406,-45.083286,5581.6535,1091.703,-2254.1643,0.0,0.0,296.97471087918484,True,Data\Materials\morrowind\tx_metal_pewter_04.mat,
"Seyda Neen, Eldafire's House",misc_com_metal_plate_05,True,94.108,-28.281,-57.566,4705.400000000001,-1414.05,-2878.3,0.0,0.0,103.13241458270409,True,Data\Materials\morrowind\tx_metal_pewter_03.mat,
"Seyda Neen, Eldafire's House",misc_com_metal_plate_05,True,285.80017,197.33354,50.98846,14290.0085,9866.677,2549.4230000000002,308.43385532264546,0.0,68.75493541569878,True,Data\Materials\morrowind\tx_metal_pewter_03.mat,
"Seyda Neen, Eldafire's House",misc_com_bucket_01,True,347.51672,-131.9543,-107.99019,17375.836,-6597.714999999999,-5399.5095,0.0,0.0,17.188733853924695,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Eldafire's House",misc_com_broom_01,True,361.50977,-80.731766,-64.878235,18075.4885,-4036.5882999999994,-3243.91175,0.0,343.64788151843146,309.2704481880498,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Eldafire's House",misc_com_bottle_15,True,145.83461,25.681711,-41.173477,7291.7305,1284.08555,-2058.67385,0.0,0.0,57.29577951308232,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Eldafire's House",misc_com_metal_goblet_01,True,104.15331,-3.571696,-52.477608,5207.6655,-178.5848,-2623.8804,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_pewter_04.mat,
