cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Erene Llenim's Shack",in_de_shack_door,True,173.9572,-160.05717,95.891754,8697.86,-8002.8585,4794.5877,0.0,0.0,270.0000011238745,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,
"Seyda Neen, Erene Llenim's Shack",active_de_bed_30,True,-74.3199,-144.36847,78.429794,-3715.9950000000003,-7218.4235,3921.4897,0.0,0.0,53.959136874826164,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Erene Llenim's Shack",furn_de_shack_post,True,-171.098,-29.77233,43.54308,-8554.900000000001,-1488.6165,2177.154,0.0,348.5408264972897,191.4591757504593,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Erene Llenim's Shack",com_sack_01_chpfood5,False,-104.27125,-100.78306,20.03001,-5213.5625,-5039.153,1001.5005,0.0,0.0,104.55211232579104,True,,
"Seyda Neen, Erene Llenim's Shack",com_sack_01_chpfood5,False,-134.90125,-98.101746,25.779432,-6745.0625,-4905.0873,1288.9716,0.0,28.64788975654116,93.09290485697302,True,,
"Seyda Neen, Erene Llenim's Shack",com_sack_01_chpfood5,False,-62.18025,-159.56363,19.066769,-3109.0125,-7978.1815,953.3384500000001,0.0,0.0,133.1999333273968,True,,
"Seyda Neen, Erene Llenim's Shack",furn_de_shack_post,True,10.882771,-270.2371,43.140736,544.13855,-13511.855,2157.0368,11.459155902616466,0.0,36.76061117218269,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Erene Llenim's Shack",furn_de_firepit,True,89.608604,178.30852,79.08647,4480.4302,8915.426,3954.3235000000004,0.0,0.0,113.75494324244846,True,Data\Materials\morrowind\tx_ash_firepit.mat,
"Seyda Neen, Erene Llenim's Shack",misc_com_bottle_11,True,-145.06499,57.46843,70.2336,-7253.2495,2873.4215,3511.68,91.67326440966558,200.53522829578813,251.15206743892023,True,Data\Materials\morrowind\tx_glass_bottle_brown.mat,
"Seyda Neen, Erene Llenim's Shack",Com_Sack_02_Ingred,False,86.917,73.257,34.939,4345.85,3662.8500000000004,1746.95,0.0,0.0,274.1000011621614,True,,
"Seyda Neen, Erene Llenim's Shack",Com_Sack_02_Ingred,False,139.52628,68.24516,38.853172,6976.314,3412.258,1942.6586,0.0,0.0,0.0,True,,
"Seyda Neen, Erene Llenim's Shack",com_sack_01_saltrice_10,False,117.810005,-3.431186,19.233727,5890.50025,-171.55929999999998,961.68635,0.0,0.0,245.40853796530052,True,,
"Seyda Neen, Erene Llenim's Shack",com_sack_01_ingred,False,105.4286,6.9223814,34.569763,5271.43,346.11907,1728.4881500000001,0.0,0.0,256.867693867917,True,,
"Seyda Neen, Erene Llenim's Shack",com_sack_03_chpfood5,False,160.90588,7.596055,48.29975,8045.294,379.80275,2414.9875,0.0,0.0,0.0,True,,
"Seyda Neen, Erene Llenim's Shack",misc_de_foldedcloth00,False,-117.18917,5.315841,66.45859,-5859.458500000001,265.79205,3322.9295,0.0,0.0,319.8929940365281,True,,
"Seyda Neen, Erene Llenim's Shack",misc_de_fishing_pole,True,-133.30475,-23.623875,78.29215,-6665.237500000001,-1181.1937500000001,3914.6075000000005,0.0,17.188729270262336,262.5972718192252,True,Data\Materials\morrowind\tx_metal_silver.mat,
"Seyda Neen, Erene Llenim's Shack",furn_hook_01,True,153.41328,-29.439037,174.73895,7670.663999999999,-1471.95185,8736.9475,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_guar_nail_00.mat,
"Seyda Neen, Erene Llenim's Shack",light_de_lantern_03,True,145.14578,-32.785572,161.38237,7257.289,-1639.2786,8069.1185000000005,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_metal_iron_rusty_01.mat,
