cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Fargoth's House",ex_nord_door_01,True,16.0,-144.0,0.0,800.0,-7200.0,0.0,0.0,0.0,180.000002659109,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Fargoth's House",in_nord_house_01,True,0.0,0.0,128.0,0.0,0.0,6400.0,0.0,0.0,0.0,True,Data\Materials\morrowind\_left_01.mat,
"Seyda Neen, Fargoth's House",in_nord_doorf_01,True,0.0,-160.0,-16.0,0.0,-8000.0,-800.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Fargoth's House",ex_nord_win_01,True,-156.47157,-166.74615,35.420933,-7823.5785000000005,-8337.3075,1771.04665,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Fargoth's House",misc_com_bottle_07,True,-102.19032,116.73138,-43.22896,-5109.516,5836.569,-2161.448,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Fargoth's House",misc_com_bottle_10,True,-63.933,103.463,-41.205,-3196.65,5173.15,-2060.25,0.0,0.0,120.29999483483255,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Fargoth's House",misc_com_bottle_11,True,-101.57822,107.14147,-121.187325,-5078.911,5357.0734999999995,-6059.36625,90.00000419434348,298.6478908804157,270.0000011238745,True,Data\Materials\morrowind\tx_glass_bottle_brown.mat,
"Seyda Neen, Fargoth's House",misc_com_bottle_11,True,-95.58751,92.208176,-43.101467,-4779.3755,4610.4088,-2155.07335,0.0,0.0,148.96902673401405,True,Data\Materials\morrowind\tx_glass_bottle_brown.mat,
"Seyda Neen, Fargoth's House",misc_com_bottle_11,True,-45.57408,86.49593,-54.960793,-2278.704,4324.7965,-2748.03965,270.0000011238745,40.1070485239466,143.94929765424928,True,Data\Materials\morrowind\tx_glass_bottle_brown.mat,
"Seyda Neen, Fargoth's House",misc_com_bucket_01,True,-217.378,-107.269,-108.021,-10868.9,-5363.450000000001,-5401.05,0.0,0.0,149.70000628904194,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Fargoth's House",misc_com_tankard_01,True,-112.99033,218.50722,41.39504,-5649.5165,10925.360999999999,2069.752,0.0,0.0,79.25065132664687,True,Data\Materials\morrowind\tx_metal_pewter_01.mat,
"Seyda Neen, Fargoth's House",furn_com_p_shelf_04,False,-248.54794,38.674595,-6.633996,-12427.397,1933.7297499999997,-331.6998,0.0,0.0,270.0000011238745,True,,
"Seyda Neen, Fargoth's House",Misc_Com_Bottle_04,True,-241.64195,68.70787,26.776524,-12082.0975,3435.3935,1338.8262,0.0,0.0,269.1634369063599,True,Data\Materials\morrowind\tx_cork_01.mat,
