cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Fine-Mouth's Shack",in_de_shack_door,True,184.85817,-48.17949,100.0,9242.9085,-2408.9745000000003,5000.0,0.0,0.0,270.0000011238745,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,
"Seyda Neen, Fine-Mouth's Shack",active_de_bedroll,True,-117.36176,64.61898,21.270733,-5868.088,3230.9489999999996,1063.53665,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_fabric_6th_bedroll.mat,
"Seyda Neen, Fine-Mouth's Shack",furn_de_shack_basket_01,True,159.77509,117.34443,50.92442,7988.7545,5867.221500000001,2546.221,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_shack_wicker.mat,
"Seyda Neen, Fine-Mouth's Shack",com_sack_03_chpfood5,False,-172.97559,-146.98459,46.330856,-8648.7795,-7349.2294999999995,2316.5427999999997,0.0,0.0,158.79998555189545,True,,
"Seyda Neen, Fine-Mouth's Shack",com_sack_02,True,-99.37059,-153.13347,29.082678,-4968.529500000001,-7656.673499999999,1454.1339,0.0,0.0,78.54082537341519,True,,
"Seyda Neen, Fine-Mouth's Shack",com_sack_01_chpfood5,False,-89.82274,-68.455765,19.961761,-4491.137,-3422.78825,998.08805,0.0,0.0,32.70421608689421,True,,
"Seyda Neen, Fine-Mouth's Shack",misc_com_bottle_07,True,-52.42679,-144.9427,86.50302,-2621.3395,-7247.135,4325.151000000001,0.0,0.0,89.99998127603166,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Fine-Mouth's Shack",misc_de_basket_01,True,-135.69641,-108.05861,74.50445,-6784.820499999999,-5402.9305,3725.2225000000003,0.0,0.0,335.4084848638645,True,Data\Materials\morrowind\tx_straw_woven.mat,
"Seyda Neen, Fine-Mouth's Shack",furn_de_ex_table_02,True,56.351963,114.27356,40.39418,2817.59815,5713.678,2019.7089999999998,0.0,0.0,358.32683104656513,True,Data\Materials\morrowind\tx_wood_weathered_rings.mat,
"Seyda Neen, Fine-Mouth's Shack",furn_de_ex_stool_02,True,61.02431,79.62561,28.69608,3051.2155,3981.2805,1434.8039999999999,0.0,0.0,169.25077584212733,True,Data\Materials\morrowind\tx_wood_weathered_rings.mat,
"Seyda Neen, Fine-Mouth's Shack",furn_de_shack_basket_02,True,17.558,126.746,89.954,877.9,6337.3,4497.7,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_shack_wicker.mat,
"Seyda Neen, Fine-Mouth's Shack",misc_com_wood_cup_02,True,69.71768,117.59729,75.49082,3485.884,5879.8645,3774.541,0.0,274.0564277218417,67.08169238911053,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Fine-Mouth's Shack",misc_com_wood_cup_01,True,58.222073,107.59839,78.66074,2911.10365,5379.9195,3933.0370000000003,0.0,0.0,89.99998127603166,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Fine-Mouth's Shack",misc_com_wood_bowl_02,True,84.32451,137.29434,74.69394,4216.2255000000005,6864.717000000001,3734.697,0.0,0.0,89.99998127603166,True,Data\Materials\morrowind\tx_wood_khaki_01.mat,
"Seyda Neen, Fine-Mouth's Shack",misc_com_metal_plate_05,True,77.81484,93.9294,73.53965,3890.742,4696.47,3676.9824999999996,0.0,0.0,89.99998127603166,True,Data\Materials\morrowind\tx_metal_pewter_03.mat,
"Seyda Neen, Fine-Mouth's Shack",misc_com_wood_knife,True,94.25228,94.856705,71.84923,4712.614,4742.83525,3592.4615000000003,0.0,0.0,238.00572844655997,True,Data\Materials\morrowind\tx_metal_pewter_01.mat,
"Seyda Neen, Fine-Mouth's Shack",misc_com_wood_fork,True,75.36425,92.87317,74.252884,3768.2125,4643.6585000000005,3712.6441999999997,11.459155902616466,354.27043882606563,352.5972874727246,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Fine-Mouth's Shack",misc_com_bottle_02,True,105.70394,116.72046,88.0348,5285.197,5836.023,4401.74,0.0,0.0,95.72955922733989,True,Data\Materials\morrowind\tx_glass_bottle_green.mat,
"Seyda Neen, Fine-Mouth's Shack",furn_de_shack_hook,True,-130.40839,74.36005,181.20474,-6520.4195,3718.0025,9060.237,0.0,0.0,326.4592049602863,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Fine-Mouth's Shack",furn_de_rope_03,True,-114.38079,86.8128,209.8811,-5719.0395,4340.639999999999,10494.055,0.0,0.0,229.05646000213767,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Fine-Mouth's Shack",furn_de_shack_basket_02,True,-132.47719,71.918,139.04065,-6623.8595000000005,3595.9000000000005,6952.0325,40.10703992957968,308.43385532264546,177.49033292487695,True,Data\Materials\morrowind\tx_shack_wicker.mat,
"Seyda Neen, Fine-Mouth's Shack",barrel_01_Ingredients,False,158.1926,-141.62563,46.89415,7909.63,-7081.2815,2344.7075,0.0,0.0,0.0,True,,
"Seyda Neen, Fine-Mouth's Shack",com_sack_02_chpfood3,False,110.62908,-147.94371,35.271786,5531.454,-7397.1855000000005,1763.5892999999999,0.0,0.0,308.4338381339116,True,,
"Seyda Neen, Fine-Mouth's Shack",light_de_lantern_08,True,-101.203,102.114,194.894,-5060.150000000001,5105.7,9744.7,0.0,0.0,40.09999827827752,True,Data\Materials\morrowind\tx_metal_iron_rusty_01.mat,
"Seyda Neen, Fine-Mouth's Shack",barrel_01_cheapfood20,False,-53.022823,-142.24854,42.297302,-2651.14115,-7112.427,2114.8651,0.0,0.0,0.0,True,,
"Seyda Neen, Fine-Mouth's Shack",light_com_lantern_02_128,False,158.519,-144.635,110.093,7925.950000000001,-7231.75,5504.650000000001,0.0,0.0,331.39999191503796,True,,
"Seyda Neen, Fine-Mouth's Shack",in_de_shack_03,True,0.0,0.0,104.35458,0.0,0.0,5217.729,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_dirtroad_01.mat,
