cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Foryn Gilnith's Shack",in_de_shack_door,True,176.67502,-162.51022,96.0,8833.751,-8125.511,4800.0,0.0,0.0,270.0000011238745,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,
"Seyda Neen, Foryn Gilnith's Shack",furn_de_firepit,True,100.88801,181.3001,81.72869,5044.4005,9065.005,4086.4345,0.0,0.0,224.1634634570779,True,Data\Materials\morrowind\tx_ash_firepit.mat,
"Seyda Neen, Foryn Gilnith's Shack",active_de_bed_30,True,-73.08958,-139.87627,87.032486,-3654.479,-6993.8135,4351.6243,0.0,0.0,57.89999215593754,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Foryn Gilnith's Shack",furn_de_shack_post,True,-2.0577197,-264.40973,70.111244,-102.88598499999999,-13220.4865,3505.5622,5.7296060262401936,354.2704617443774,325.3691756733617,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Foryn Gilnith's Shack",furn_de_shack_post,True,-160.88791,-17.842125,71.94159,-8044.3955000000005,-892.1062499999999,3597.0795000000003,0.0,348.54086660433535,354.0170654299029,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Foryn Gilnith's Shack",barrel_01_empty,False,-136.56993,-188.6854,45.478436,-6828.4965,-9434.269999999999,2273.9218,0.0,0.0,90.49999008468642,True,,
"Seyda Neen, Foryn Gilnith's Shack",barrel_01_empty,False,-101.55,-234.984,41.265,-5077.5,-11749.2,2063.25,0.0,0.0,5.500000065335058,True,,
"Seyda Neen, Foryn Gilnith's Shack",com_sack_01_saltrice_5,False,-121.20501,-103.675064,23.049614,-6060.2505,-5183.7532,1152.4806999999998,0.0,0.0,90.00000419434348,True,,
"Seyda Neen, Foryn Gilnith's Shack",misc_com_bottle_07,True,-93.8692,-239.47841,85.47104,-4693.46,-11973.9205,4273.552,0.0,0.0,97.14937156198587,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Foryn Gilnith's Shack",misc_com_bottle_02,True,-109.37068,-241.17236,85.598526,-5468.534,-12058.618,4279.9263,0.0,0.0,22.664852465400905,True,Data\Materials\morrowind\tx_glass_bottle_green.mat,
"Seyda Neen, Foryn Gilnith's Shack",Com_Sack_02_Ingred,False,119.414085,95.04775,39.02292,5970.70425,4752.3875,1951.146,0.0,0.0,75.19441380475206,True,,
"Seyda Neen, Foryn Gilnith's Shack",furn_de_ex_stool_02,True,-91.403984,106.709305,26.086998,-4570.1992,5335.46525,1304.3499000000002,0.0,0.0,354.8536525657293,True,Data\Materials\morrowind\tx_wood_weathered_rings.mat,
"Seyda Neen, Foryn Gilnith's Shack",misc_com_metal_plate_05,True,-102.547295,118.59763,72.06619,-5127.364750000001,5929.8814999999995,3603.3095000000003,0.0,0.0,103.71561686321185,True,Data\Materials\morrowind\tx_metal_pewter_03.mat,
"Seyda Neen, Foryn Gilnith's Shack",misc_com_wood_knife,True,-85.08098,118.83738,71.37381,-4254.049,5941.869,3568.6905,0.0,0.0,241.2255048833433,True,Data\Materials\morrowind\tx_metal_pewter_01.mat,
