cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Indrele Rathryon's Shack",in_de_shack_door,True,260.0,-32.0,112.0,13000.0,-1600.0,5600.0,0.0,0.0,270.0000011238745,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,
"Seyda Neen, Indrele Rathryon's Shack",com_sack_01_saltrice_10,False,226.92513,84.8106,33.95316,11346.2565,4240.53,1697.658,0.0,0.0,274.0563704260622,True,,
"Seyda Neen, Indrele Rathryon's Shack",com_sack_01_ingred,False,225.307,82.662,45.874,11265.349999999999,4133.1,2293.7000000000003,0.0,0.0,285.4999991724306,True,,
"Seyda Neen, Indrele Rathryon's Shack",com_sack_02_chpfood3,False,186.47583,117.70631,50.960396,9323.7915,5885.3155,2548.0198,0.0,0.0,325.6225719878363,True,,
"Seyda Neen, Indrele Rathryon's Shack",com_sack_02_saltrice_10,False,163.56499,155.66107,51.6494,8178.2495,7783.0535,2582.47,0.0,0.0,0.0,True,,
"Seyda Neen, Indrele Rathryon's Shack",misc_com_bottle_11,True,69.10245,-118.70122,95.52527,3455.1225000000004,-5935.061000000001,4776.2635,0.0,0.0,120.32114270705083,True,Data\Materials\morrowind\tx_glass_bottle_brown.mat,
"Seyda Neen, Indrele Rathryon's Shack",furn_de_rope_03,True,128.69746,-52.798714,254.28127,6434.8730000000005,-2639.9357,12714.0635,0.0,0.0,274.056393344374,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Indrele Rathryon's Shack",light_de_lantern_03,True,128.754,-57.929,235.414,6437.7,-2896.4500000000003,11770.699999999999,0.0,0.0,268.2999952386757,True,Data\Materials\morrowind\tx_metal_iron_rusty_01.mat,
"Seyda Neen, Indrele Rathryon's Shack",com_sack_03_chpfood5,False,244.41214,-115.20266,61.495163,12220.607,-5760.133,3074.75815,0.0,0.0,0.0,True,,
"Seyda Neen, Indrele Rathryon's Shack",com_sack_01_saltrice_5,False,185.585,-112.71532,32.08097,9279.25,-5635.7660000000005,1604.0485,0.0,0.0,0.0,True,,
"Seyda Neen, Indrele Rathryon's Shack",com_basket_01_chpfood5,False,-18.641,-115.162,59.111015,-932.05,-5758.1,2955.55075,0.0,0.0,342.8000185731969,True,,
"Seyda Neen, Indrele Rathryon's Shack",light_com_candle_07_77,False,-80.178,-107.001,107.83036,-4008.8999999999996,-5350.05,5391.518,0.0,0.0,296.99998404752813,True,,
"Seyda Neen, Indrele Rathryon's Shack",furn_de_shack_post,True,-121.05775,6.5027595,55.646004,-6052.8875,325.137975,2782.3001999999997,2.7320756783004362e-05,337.0817450791866,62.77194969076009,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Indrele Rathryon's Shack",active_de_bed_30,True,19.689457,90.452835,92.92254,984.47285,4522.64175,4646.1269999999995,0.0,0.0,143.84367288471694,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Indrele Rathryon's Shack",furn_de_shack_post,True,143.6904,183.80757,77.83164,7184.52,9190.3785,3891.5819999999994,348.54086660433535,11.459157048532054,91.41987382476897,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Indrele Rathryon's Shack",barrel_01_Ingredients,False,220.43973,150.04066,57.561855,11021.986499999999,7502.033,2878.0927500000003,0.0,0.0,0.0,True,,
"Seyda Neen, Indrele Rathryon's Shack",furn_de_ex_table_02,True,84.549,-101.84349,49.103645,4227.450000000001,-5092.1745,2455.18225,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_weathered_rings.mat,
"Seyda Neen, Indrele Rathryon's Shack",Misc_Com_Bottle_14,True,91.09483,-120.59841,96.87251,4554.7415,-6029.9205,4843.6255,0.0,0.0,51.56620385360527,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Indrele Rathryon's Shack",misc_com_metal_plate_05,True,73.529434,-83.67556,82.09442,3676.4716999999996,-4183.778,4104.721,0.0,0.0,28.64788975654116,True,Data\Materials\morrowind\tx_metal_pewter_03.mat,
"Seyda Neen, Indrele Rathryon's Shack",misc_com_bucket_01,True,-89.162735,-50.35519,45.071354,-4458.13675,-2517.7595,2253.5677,0.0,0.0,137.5099166680212,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Indrele Rathryon's Shack",misc_com_broom_01,True,-88.78897,-24.729197,95.00752,-4439.4485,-1236.45985,4750.376,0.0,11.459155902616466,0.0,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Indrele Rathryon's Shack",Misc_Com_Pitcher_Metal_01,True,109.127625,-107.20137,94.729576,5456.381249999999,-5360.068499999999,4736.4788,0.0,0.0,337.0817278904527,True,Data\Materials\morrowind\tx_metal_pewter_04.mat,
"Seyda Neen, Indrele Rathryon's Shack",misc_com_tankard_01,True,52.65627,-107.40895,87.4059,2632.8134999999997,-5370.4475,4370.295,0.0,0.0,257.83095051309095,True,Data\Materials\morrowind\tx_metal_pewter_01.mat,
"Seyda Neen, Indrele Rathryon's Shack",Misc_Com_Wood_Bowl_01,True,89.63984,-101.30166,83.41697,4481.992,-5065.083,4170.8485,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Indrele Rathryon's Shack",misc_com_wood_fork,True,91.35009,-80.79887,81.71815,4567.5045,-4039.9435,4085.9075,0.0,0.0,80.2140970478932,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Indrele Rathryon's Shack",misc_com_wood_knife,True,56.63007,-88.30178,80.8092,2831.5035000000003,-4415.089,4040.46,0.0,0.0,97.40283663139586,True,Data\Materials\morrowind\tx_metal_pewter_01.mat,
"Seyda Neen, Indrele Rathryon's Shack",furn_de_ex_stool_02,True,71.91958,-75.12027,38.324165,3595.979,-3756.0135,1916.2082500000001,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_weathered_rings.mat,
"Seyda Neen, Indrele Rathryon's Shack",misc_de_fishing_pole,True,198.76259,106.71743,73.46065,9938.1295,5335.871499999999,3673.0325000000003,51.56620385360527,348.54086660433535,0.0,True,Data\Materials\morrowind\tx_metal_silver.mat,
