cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Lighthouse",Ex_De_Shack_Door,True,-64.0,-200.0,-664.0,-3200.0,-10000.0,-33200.0,0.0,0.0,180.000002659109,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,
"Seyda Neen, Lighthouse",Ex_De_Shack_Door,True,201.738,50.978,-96.0,10086.9,2548.9,-4800.0,0.0,4.700000008953412,90.00000419434348,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,
"Seyda Neen, Lighthouse",in_common_lighthouse,True,0.0,0.0,128.0,0.0,0.0,6400.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_stone_bluegrey.mat,
"Seyda Neen, Lighthouse",ex_com_dframe_lthus,True,-64.0,-200.0,-744.0,-3200.0,-10000.0,-37200.0,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_wood_grey_planks_01.mat,
"Seyda Neen, Lighthouse",barrel_01_pos,False,211.12885,289.90555,-767.46185,10556.4425,14495.2775,-38373.0925,0.0,0.0,0.0,True,,
"Seyda Neen, Lighthouse",barrel_01_Ingredients,False,207.86736,232.60162,-767.46185,10393.368,11630.081,-38373.0925,0.0,0.0,0.0,True,,
"Seyda Neen, Lighthouse",com_sack_01_saltrice_10,False,-5.320545,46.93395,-792.8301,-266.02725,2346.6975,-39641.505,0.0,0.0,51.56619583219614,True,,
"Seyda Neen, Lighthouse",com_sack_01_saltrice_10,False,87.48462,309.54376,-792.69086,4374.231000000001,15477.188000000002,-39634.543000000005,0.0,0.0,85.94367499920143,True,,
"Seyda Neen, Lighthouse",com_sack_02_chpfood3,False,38.073353,290.93036,-771.3019,1903.6676499999999,14546.518,-38565.095,0.0,0.0,45.83662934004381,True,,
"Seyda Neen, Lighthouse",light_com_candle_07_77,False,-259.51816,-20.185617,-719.7909,-12975.908000000001,-1009.28085,-35989.545,0.0,0.0,199.5887306661218,True,,
"Seyda Neen, Lighthouse",light_com_lantern_02_128,False,156.11163,-60.336704,-44.58025,7805.581499999999,-3016.8352,-2229.0125,0.0,0.0,114.59157048532056,True,,
"Seyda Neen, Lighthouse",light_com_lantern_02,True,79.43613,49.889534,-287.47574,3971.8065,2494.4766999999997,-14373.786999999998,0.0,0.0,348.54086660433535,True,Data\Materials\morrowind\tx_firealpha01.mat,
"Seyda Neen, Lighthouse",misc_com_bottle_06,True,-262.67578,-73.80178,-724.01184,-13133.788999999999,-3690.0889999999995,-36200.592,0.0,0.0,34.37746770784939,True,Data\Materials\morrowind\tx_glass_bottle_blue.mat,
"Seyda Neen, Lighthouse",misc_com_bucket_01,True,239.75165,-127.928246,-783.04083,11987.5825,-6396.4123,-39152.0415,0.0,0.0,34.377496355739154,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Lighthouse",ex_de_oar,True,-263.63486,-173.34456,-716.9472,-13181.743,-8667.228,-35847.36,72.81127034041877,184.05638915003053,179.99999119995306,True,Data\Materials\morrowind\tx_wood_docks_01.mat,
"Seyda Neen, Lighthouse",ex_de_oar,True,-272.99057,-179.69164,-716.2533,-13649.5285,-8984.582,-35812.665,251.13807580956313,34.37746770784939,348.54086660433535,True,Data\Materials\morrowind\tx_wood_docks_01.mat,
"Seyda Neen, Lighthouse",furn_de_ex_table_02,True,-258.49414,-46.29072,-771.66534,-12924.707,-2314.536,-38583.267,0.0,0.0,268.326792474754,True,Data\Materials\morrowind\tx_wood_weathered_rings.mat,
"Seyda Neen, Lighthouse",misc_com_broom_01,True,254.63034,-156.7,-731.4526,12731.517,-7834.999999999999,-36572.63,0.0,348.54086660433535,0.0,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Lighthouse",furn_de_ex_stool_02,True,228.58739,-30.636911,-782.307,11429.3695,-1531.84555,-39115.35,0.0,0.0,103.13239166439227,True,Data\Materials\morrowind\tx_wood_weathered_rings.mat,
"Seyda Neen, Lighthouse",misc_com_bottle_05,True,-280.35043,-63.697277,-723.2376,-14017.5215,-3184.86385,-36161.880000000005,0.0,0.0,51.56620385360527,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Lighthouse",misc_com_wood_spoon_01,True,-239.24115,-69.805885,-739.8222,-11962.0575,-3490.2942500000004,-36991.11,0.0,0.0,170.923967302514,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Lighthouse",Misc_Com_Wood_Bowl_01,True,-241.19778,-56.585396,-738.4814,-12059.889,-2829.2698,-36924.07,0.0,0.0,143.2394487827058,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Lighthouse",misc_com_wood_cup_01,True,-254.56868,-46.93661,-734.168,-12728.434,-2346.8305,-36708.4,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Lighthouse",com_sack_03_chpfood5,False,38.122837,69.965164,-763.1647,1906.1418499999997,3498.2582,-38158.235,0.0,0.0,359.9999823999061,True,,
"Seyda Neen, Lighthouse",com_sack_03_chpfood5,False,-10.6957855,244.51874,-763.1647,-534.789275,12225.937,-38158.235,0.0,0.0,268.3267695564421,True,,
"Seyda Neen, Lighthouse",furn_com_lantern_hook_02,True,164.93936,-62.03886,-47.86916,8246.967999999999,-3101.943,-2393.458,354.27032996408457,5.729577951308233,120.32114270705083,True,Data\Materials\morrowind\tx_metal_strip_01.mat,
