cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Terurise Girvayne's House",ex_nord_door_01,True,-144.0,-144.0,-16.0,-7200.0,-7200.0,-800.0,0.0,0.0,180.000002659109,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Terurise Girvayne's House",active_com_bed_03,False,129.559,148.498,-97.6,6477.95,7424.9,-4880.0,0.0,0.0,0.0,True,,
"Seyda Neen, Terurise Girvayne's House",misc_com_bucket_01,True,-222.83516,-100.66424,-108.579956,-11141.758,-5033.212,-5428.9978,0.0,0.0,126.05071492878112,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Terurise Girvayne's House",misc_com_broom_01,True,-230.18964,-125.77188,-68.21205,-11509.482,-6288.594,-3410.6025000000004,0.0,28.64788402696321,258.540845221258,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Terurise Girvayne's House",misc_uni_pillow_01,False,197.5725,145.86592,-70.79631,9878.625,7293.295999999999,-3539.8155,0.0,0.0,360.0000110477959,True,,
"Seyda Neen, Terurise Girvayne's House",com_basket_01_chpfood5,False,147.4852,-122.05082,-89.35474,7374.259999999999,-6102.541,-4467.737,0.0,0.0,331.3521499391445,True,,
"Seyda Neen, Terurise Girvayne's House",com_basket_01_ingredien,False,205.3333,-118.29485,-83.714035,10266.665,-5914.7425,-4185.70175,0.0,0.0,331.3521212912548,True,,
"Seyda Neen, Terurise Girvayne's House",barrel_01_Ingredients,False,193.85344,-45.945175,-93.00099,9692.672,-2297.25875,-4650.0495,0.0,0.0,0.0,True,,
"Seyda Neen, Terurise Girvayne's House",light_com_candle_07,True,198.8196,13.853083,-47.722,9940.98,692.65415,-2386.1,0.0,0.0,360.0000110477959,True,Data\Materials\morrowind\tx_firealpha01.mat,
"Seyda Neen, Terurise Girvayne's House",Com_Sack_02_Ingred,False,-3.3447924,180.342,-103.981995,-167.23962,9017.1,-5199.09975,0.0,0.0,302.7042601826033,True,,
"Seyda Neen, Terurise Girvayne's House",Com_Sack_02_Ingred,False,-18.368986,147.72305,-104.66971,-918.4493,7386.1525,-5233.4855,0.0,0.0,0.0,True,,
"Seyda Neen, Terurise Girvayne's House",com_sack_02_saltrice_10,False,-46.981018,176.692,-104.038376,-2349.0508999999997,8834.6,-5201.9188,0.0,0.0,5.729577951308233,True,,
"Seyda Neen, Terurise Girvayne's House",com_sack_03_ingredients,False,145.191,-51.908,-94.415,7259.55,-2595.4,-4720.75,0.0,342.8000185731969,7.400000306671053,True,,
"Seyda Neen, Terurise Girvayne's House",com_sack_01_saltrice_10,False,-96.405495,150.42586,-118.597,-4820.2747500000005,7521.293,-5929.849999999999,0.0,0.0,29.500000037911057,True,,
"Seyda Neen, Terurise Girvayne's House",com_sack_01_ingred,False,-92.60308,157.35689,-105.99696,-4630.154,7867.844499999999,-5299.848,0.0,0.0,45.83661788088791,True,,
"Seyda Neen, Terurise Girvayne's House",misc_com_bottle_05,True,208.54225,45.556232,-52.13678,10427.1125,2277.8116,-2606.839,0.0,0.0,63.02535746439056,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Terurise Girvayne's House",in_nord_house_03,True,0.0,0.0,128.0,0.0,0.0,6400.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_thatch_01.mat,
"Seyda Neen, Terurise Girvayne's House",in_nord_doorf_01,True,-160.0,-160.0,-32.0,-8000.0,-8000.0,-1600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",ex_nord_win_01,True,152.26299,-170.66554,3.6707532,7613.1495,-8533.277,183.53766000000002,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Terurise Girvayne's House",ex_nord_win_01,True,0.143,-170.666,3.671,7.1499999999999995,-8533.3,183.54999999999998,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Terurise Girvayne's House",in_nord_fireplace_01,True,-241.32938,109.06586,143.16708,-12066.469,5453.293,7158.354,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_strip_01.mat,
"Seyda Neen, Terurise Girvayne's House",furn_crate_open_01,True,192.47617,26.6524,-97.70482,9623.8085,1332.62,-4885.241,180.000002659109,0.0,0.0,True,Data\Materials\morrowind\tx_wood_brown_box_01.mat,
"Seyda Neen, Terurise Girvayne's House",furn_com_pm_stool_02,False,-220.25014,-49.813126,-108.9079,-11012.507,-2490.6562999999996,-5445.3949999999995,0.0,0.0,40.1070485239466,True,,
"Seyda Neen, Terurise Girvayne's House",furn_crate_lid_01,True,193.99802,70.840546,-94.27908,9699.901,3542.0273,-4713.954,75.32115206903501,0.0,0.0,True,Data\Materials\morrowind\tx_border_metal_bronze_01.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_04,True,-212.4799,-11.188025,-113.39981,-10623.994999999999,-559.40125,-5669.9905,0.0,0.0,103.13242604185999,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_04,True,-224.50377,101.25603,-110.88337,-11225.1885,5062.8015,-5544.1685,0.0,0.0,5.729577951308233,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_04,True,-209.59634,102.08116,-110.88337,-10479.817,5104.058,-5544.1685,0.0,0.0,182.38311174597456,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_04,True,-216.22116,99.76079,-103.11366,-10811.057999999999,4988.0395,-5155.683,0.0,0.0,348.5408837930692,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_04,True,-205.82579,12.395307,-121.370895,-10291.2895,619.76535,-6068.54475,0.0,0.0,97.4028538201297,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_03,True,-210.28052,-22.215055,-113.58597,-10514.026,-1110.7527499999999,-5679.2985,0.0,0.0,104.0958030081709,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_03,True,-211.70772,-16.122034,-121.63187,-10585.386,-806.1016999999999,-6081.5935,0.0,0.0,103.13241458270409,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_03,True,-214.9437,-26.331377,-121.63187,-10747.185,-1316.5688499999999,-6081.5935,0.0,0.0,280.7492966957916,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_log_04,True,-207.64064,-5.706588,-121.370895,-10382.032,-285.3294,-6068.54475,0.0,0.0,286.4788975654116,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Terurise Girvayne's House",furn_com_cauldron_01,True,-150.7011,173.03812,-85.1149,-7535.055,8651.905999999999,-4255.745,0.0,0.0,80.2140970478932,True,Data\Materials\morrowind\tx_metal_iron_rusty.mat,
"Seyda Neen, Terurise Girvayne's House",misc_com_iron_ladle,True,-149.80194,180.5081,-107.90209,-7490.097,9025.405,-5395.1045,0.0,0.0,314.1634275443757,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Terurise Girvayne's House",misc_com_wood_spoon_02,True,-157.41823,173.80385,-94.091995,-7870.9115,8690.192500000001,-4704.599749999999,325.6225719878363,314.1634160852198,40.10704565915762,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Terurise Girvayne's House",Light_Fire_NoSmoke,True,-213.274,99.954,-138.417,-10663.7,4997.7,-6920.85,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_firealpha10.mat,
"Seyda Neen, Terurise Girvayne's House",furn_com_tapestry_03,True,243.8895,-61.218636,89.69629,12194.475,-3060.9318,4484.8145,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_fabric_tapestry_03.mat,
"Seyda Neen, Terurise Girvayne's House",furn_com_tapestry_03,True,-252.07426,-50.33955,89.69629,-12603.713,-2516.9775,4484.8145,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_fabric_tapestry_03.mat,
