cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
"Seyda Neen, Vodunius Nuccius' House",ex_nord_door_01,True,48.0,-240.0,-16.0,2400.0,-12000.0,-800.0,0.0,0.0,180.000002659109,False,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Vodunius Nuccius' House",in_nord_house_01,True,48.0,-96.0,112.0,2400.0,-4800.0,5600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\_left_01.mat,
"Seyda Neen, Vodunius Nuccius' House",in_nord_doorf_01,True,32.0,-256.0,-32.0,1600.0,-12800.0,-1600.0,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_wood_brown_posts_02.mat,
"Seyda Neen, Vodunius Nuccius' House",ex_nord_win_01,True,-122.78663,-262.09467,12.920565,-6139.3315,-13104.7335,646.02825,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_hinge_01.mat,
"Seyda Neen, Vodunius Nuccius' House",light_com_chandelier_01,True,42.709,-39.247,85.906,2135.4500000000003,-1962.35,4295.3,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_firealpha01.mat,
"Seyda Neen, Vodunius Nuccius' House",furn_com_p_table_01,False,154.38177,32.314323,-104.21727,7719.0885,1615.7161500000002,-5210.8635,0.0,0.0,270.0000011238745,True,,
"Seyda Neen, Vodunius Nuccius' House",furn_com_p_bench_01,False,95.01538,29.56854,-124.11987,4750.768999999999,1478.427,-6205.9935000000005,0.0,0.0,270.0000011238745,True,,
"Seyda Neen, Vodunius Nuccius' House",furn_com_p_bench_01,False,215.54433,40.436523,-124.11987,10777.2165,2021.82615,-6205.9935000000005,0.0,0.0,270.0000011238745,True,,
"Seyda Neen, Vodunius Nuccius' House",com_cupboard_wood_bowls,False,21.64764,127.86789,1.4766023,1082.382,6393.3945,73.83011499999999,0.0,0.0,0.0,True,,
"Seyda Neen, Vodunius Nuccius' House",Misc_Com_Bottle_14,True,0.43778777,122.433754,45.48735,21.889388500000003,6121.6876999999995,2274.3675,0.0,0.0,5.729577951308233,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Vodunius Nuccius' House",com_sack_01_chpfood5,False,-162.56903,-80.757225,-134.85439,-8128.4515,-4037.8612500000004,-6742.7195,0.0,0.0,252.81128445868364,True,,
"Seyda Neen, Vodunius Nuccius' House",com_sack_01_ingred,False,-118.31949,-31.762619,-132.9164,-5915.9745,-1588.13095,-6645.820000000001,0.0,0.0,280.7492623183239,True,,
"Seyda Neen, Vodunius Nuccius' House",com_sack_02_chpfood3,False,-170.38434,-208.054,-115.65851,-8519.217,-10402.7,-5782.9255,0.0,0.0,325.6225719878363,True,,
"Seyda Neen, Vodunius Nuccius' House",Com_Sack_02_Ingred,False,-95.70601,-211.43028,-117.76915,-4785.3005,-10571.514000000001,-5888.4574999999995,0.0,0.0,152.18872868628398,True,,
"Seyda Neen, Vodunius Nuccius' House",com_sack_03_ingredients,False,-135.73723,-209.46162,-110.210075,-6786.861500000001,-10473.081,-5510.50375,0.0,17.188733853924695,180.000002659109,True,,
"Seyda Neen, Vodunius Nuccius' House",com_basket_01_ingredien,False,121.761,-206.431,-96.688,6088.05,-10321.550000000001,-4834.400000000001,0.0,0.0,118.60000613836759,True,,
"Seyda Neen, Vodunius Nuccius' House",Misc_Com_Bottle_14,True,-23.9418,103.138695,-60.912113,-1197.0900000000001,5156.93475,-3045.60565,0.0,0.0,348.54086660433535,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_metal_goblet_01,True,-22.172337,82.57006,-71.24209,-1108.6168499999999,4128.503,-3562.1045000000004,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_pewter_04.mat,
"Seyda Neen, Vodunius Nuccius' House",Misc_Com_Bottle_14,True,170.7621,-13.566271,-55.08975,8538.105,-678.3135500000001,-2754.4875,0.0,0.0,17.188733853924695,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_metal_plate_05,True,129.12738,31.157614,-69.93381,6456.369,1557.8807,-3496.6904999999997,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_pewter_03.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_metal_goblet_01,True,143.89198,5.314085,-64.84579,7194.598999999999,265.70425,-3242.2895,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_pewter_04.mat,
"Seyda Neen, Vodunius Nuccius' House",light_com_candle_02_64,False,159.25185,63.44286,-54.612934,7962.5925,3172.143,-2730.6467000000002,0.0,0.0,337.0817278904527,True,,
"Seyda Neen, Vodunius Nuccius' House",misc_com_redware_bowl_01,False,171.15683,38.129692,-67.94424,8557.8415,1906.4846,-3397.2119999999995,0.0,0.0,331.3521499391445,True,,
"Seyda Neen, Vodunius Nuccius' House",misc_de_foldedcloth00,False,154.72954,-5.720708,-71.41687,7736.476999999999,-286.0354,-3570.8435,0.0,0.0,342.81130584176094,True,,
"Seyda Neen, Vodunius Nuccius' House",furn_com_p_shelf_03,False,292.79324,-58.012848,-16.518625,14639.662000000002,-2900.6423999999997,-825.93125,0.0,0.0,90.00000419434348,True,,
"Seyda Neen, Vodunius Nuccius' House",Com_Sack_02_Ingred,False,-169.70651,-158.38228,-119.638214,-8485.3255,-7919.1140000000005,-5981.9107,0.0,0.0,57.29577378350437,True,,
"Seyda Neen, Vodunius Nuccius' House",misc_uni_pillow_01,False,-141.4823,79.12834,-85.77416,-7074.115000000001,3956.417,-4288.708,0.0,0.0,90.00000419434348,True,,
"Seyda Neen, Vodunius Nuccius' House",active_com_bed_03,False,-143.44107,9.001847,-113.024315,-7172.0535,450.09235,-5651.21575,0.0,0.0,270.0000011238745,True,,
"Seyda Neen, Vodunius Nuccius' House",Misc_Com_Pitcher_Metal_01,True,182.75134,0.22667146,-58.685898,9137.567,11.333573,-2934.2949,0.0,0.0,319.8929940365281,True,Data\Materials\morrowind\tx_metal_pewter_04.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_wood_fork,True,129.55563,48.943905,-70.46884,6477.7815,2447.19525,-3523.442,0.0,0.0,348.54086660433535,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_wood_knife,True,131.48785,13.928688,-70.90831,6574.392500000001,696.4344,-3545.4155,0.0,0.0,0.0,True,Data\Materials\morrowind\tx_metal_pewter_01.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_wood_spoon_01,True,125.02531,9.103846,-70.75047,6251.2655,455.19230000000005,-3537.5235000000002,0.0,0.0,5.729577951308233,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_broom_01,True,-49.045948,115.773186,-77.06216,-2452.2974,5788.659299999999,-3853.108,11.459155902616466,0.0,0.0,True,Data\Materials\morrowind\tx_rope_heavy.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_bucket_01,True,-71.218445,80.00516,-124.02134,-3560.92225,4000.2580000000003,-6201.067,0.0,0.0,233.9493247669046,True,Data\Materials\morrowind\tx_metal_strip_02.mat,
"Seyda Neen, Vodunius Nuccius' House",Misc_Com_Wood_Bowl_05,True,5.2915983,102.85368,-71.998665,264.579915,5142.684,-3599.93325,0.0,0.0,34.37746770784939,True,Data\Materials\morrowind\tx_wood_cherry.mat,
"Seyda Neen, Vodunius Nuccius' House",ingred_bread_01,True,-8.3855505,75.03972,-74.66915,-419.277525,3751.9860000000003,-3733.4575,0.0,0.0,234.9126960036375,True,Data\Materials\morrowind\tx_breadloaf_01.mat,
"Seyda Neen, Vodunius Nuccius' House",ingred_bread_01,True,2.7428665,79.515625,-74.179016,137.143325,3975.78125,-3708.9508,0.0,0.0,34.37746770784939,True,Data\Materials\morrowind\tx_breadloaf_01.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_wood_spoon_01,True,-3.6982665,102.73101,-68.91774,-184.913325,5136.5505,-3445.8869999999997,348.54086660433535,331.3521499391445,0.0,True,Data\Materials\morrowind\tx_wood_interior_plain_01.mat,
"Seyda Neen, Vodunius Nuccius' House",Misc_Com_Bottle_14,True,-10.297756,116.93487,45.48735,-514.8878,5846.7435000000005,2274.3675,0.0,0.0,5.729577951308233,True,Data\Materials\morrowind\tx_cork_01.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_metal_plate_07,True,47.69959,125.32613,39.663048,2384.9795,6266.306500000001,1983.1524000000002,296.97471087918484,0.0,63.02535746439056,True,Data\Materials\morrowind\tx_metal_brass_plate.mat,
"Seyda Neen, Vodunius Nuccius' House",misc_com_metal_plate_07,True,19.92202,125.32613,39.663048,996.101,6266.306500000001,1983.1524000000002,296.97471087918484,0.0,319.8929940365281,True,Data\Materials\morrowind\tx_metal_brass_plate.mat,
"Seyda Neen, Vodunius Nuccius' House",furn_com_tapestry_01,True,154.09068,121.96587,81.44504,7704.534,6098.2935,4072.2520000000004,0.0,0.0,180.000002659109,True,Data\Materials\morrowind\tx_fabric_tapestry.mat,
"Seyda Neen, Vodunius Nuccius' House",furn_crate_lid_01,True,48.427933,90.92567,-111.37271,2421.39665,4546.2835,-5568.6355,0.0,298.64786223252594,0.0,True,Data\Materials\morrowind\tx_border_metal_bronze_01.mat,
