cell,object_id,mesh_converted,x_mw,y_mw,z_mw,x_sf,y_sf,z_sf,rot_x,rot_y,rot_z,temporary,material_path,destination_cell
Seyda Neen,ex_nord_door_01,True,-9821.382,-71476.945,268.844,-491069.1,-3573847.2500000005,13442.199999999999,0.0,0.0,45.00000209717174,False,Data\Materials\morrowind\tx_hinge_01.mat,"Seyda Neen, Census and Excise Warehouse"
Seyda Neen,ex_nord_door_01-back,False,-11748.717,-70101.55,333.711,-587435.85,-3505077.5,16685.55,0.0,0.0,270.0000011238745,False,,"Seyda Neen, Arrille's Tradehouse"
Seyda Neen,ex_nord_door_01,True,-11654.363,-70978.73,345.122,-582718.15,-3548936.5,17256.100000000002,0.0,0.0,261.3000036978018,False,Data\Materials\morrowind\tx_hinge_01.mat,"Seyda Neen, Terurise Girvayne's House"
Seyda Neen,ex_nord_door_01,True,-11958.173,-67956.75,452.5,-597908.65,-3397837.5,22625.0,0.0,0.0,223.39999719506608,False,Data\Materials\morrowind\tx_hinge_01.mat,"Seyda Neen, Fargoth's House"
Seyda Neen,ex_nord_door_01,True,-10934.614,-70251.81,393.879,-546730.7,-3512590.5,19693.95,0.0,0.0,42.99999894818919,False,Data\Materials\morrowind\tx_hinge_01.mat,"Seyda Neen, Eldafire's House"
Seyda Neen,ex_nord_door_01,True,-10956.729,-72364.18,282.37,-547836.45,-3618208.9999999995,14118.5,0.0,0.0,129.80000177109048,False,Data\Materials\morrowind\tx_hinge_01.mat,"Seyda Neen, Census and Excise Office"
Seyda Neen,ex_nord_door_01,True,-11007.254,-67859.51,426.60397,-550362.7000000001,-3392975.4999999995,21330.1985,0.0,0.0,119.49999105422523,False,Data\Materials\morrowind\tx_hinge_01.mat,"Seyda Neen, Draren Thiralas' House"
Seyda Neen,ex_nord_door_01,True,-10582.168,-70725.47,356.903,-529108.4,-3536273.5,17845.15,0.0,0.0,72.19999885752755,False,Data\Materials\morrowind\tx_hinge_01.mat,"Seyda Neen, Vodunius Nuccius' House"
Seyda Neen,Ex_De_Shack_Door,True,-13538.228,-71932.914,161.339,-676911.3999999999,-3596645.7,8066.95,0.0,0.0,340.19999339467273,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,"Seyda Neen, Erene Llenim's Shack"
Seyda Neen,Ex_De_Shack_Door,True,-14169.115,-71649.66,148.80879,-708455.75,-3582483.0,7440.4394999999995,0.0,0.0,35.82957423566013,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,"Seyda Neen, Fine-Mouth's Shack"
Seyda Neen,Ex_De_Shack_Door,True,-13465.633,-70987.65,190.05785,-673281.65,-3549382.4999999995,9502.8925,0.0,0.0,253.0901831246195,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,"Seyda Neen, Foryn Gilnith's Shack"
Seyda Neen,Ex_De_Shack_Door,True,-12890.605,-70649.516,112.48,-644530.25,-3532475.8000000003,5624.0,0.0,0.0,62.799995974831745,False,Data\Materials\morrowind\tx_metal_iron_rusty.mat,"Seyda Neen, Indrele Rathryon's Shack"
Seyda Neen,ex_common_door_01,True,-12295.522,-70033.055,444.112,-614776.1000000001,-3501652.7499999995,22205.600000000002,0.0,0.0,90.00000419434348,False,Data\Materials\morrowind\tx_common_door_02.mat,"Seyda Neen, Arrille's Tradehouse"
Seyda Neen,ex_common_door_balcony,True,-9895.516,-72398.01,726.929,-494775.8,-3619900.4999999995,36346.45,0.0,0.0,314.9999917618903,False,Data\Materials\morrowind\tx_keyhole_01.mat,"Seyda Neen, Census and Excise Warehouse"
Seyda Neen,flora_treestump_unique,False,-12744.618,-70973.68,-211.5298,-637230.9,-3548683.9999999995,-10576.49,0.0,0.0,256.86767667918315,False,,
Seyda Neen,ex_common_window_01,True,-10187.15,-71875.914,370.70795,-509357.5,-3593795.7,18535.3975,0.0,0.0,270.0000011238745,True,Data\Materials\morrowind\tx_metal_strip_01.mat,
Seyda Neen,ex_common_house_tall_01,True,-10176.0,-72128.0,312.54092,-508800.0,-3606400.0,15627.046000000002,0.0,0.0,314.9995906914337,True,Data\Materials\morrowind\tx_stucco_imp_02.mat,
Seyda Neen,ex_common_house_tall_02,True,-9887.324,-71547.1,888.2494,-494366.2,-3577355.0000000005,44412.47,0.0,0.0,135.00000056193724,True,Data\Materials\morrowind\tx_stucco_imp_02.mat,
Seyda Neen,ex_common_skywalk_01,True,-9894.664,-71695.12,683.6002,-494733.2,-3584756.0,34180.01,0.0,0.0,224.99955211962256,True,Data\Materials\morrowind\tx_stucco_imp_02.mat,
Seyda Neen,ex_common_tower_thatch,True,-9793.214,-71074.39,329.34003,-489660.7,-3553719.5,16467.001500000002,0.0,0.0,45.00000209717174,True,Data\Materials\morrowind\tx_stucco_imp_02.mat,
Seyda Neen,ex_common_house_tall_02,True,-12136.0,-70368.0,952.0,-606800.0,-3518400.0,47600.0,0.0,0.0,90.00000419434348,True,Data\Materials\morrowind\tx_stucco_imp_02.mat,
Seyda Neen,ex_common_house_addon,True,-10387.761,-71732.0,174.22008,-519388.05000000005,-3586600.0,8711.003999999999,0.0,0.0,225.00001048585867,True,Data\Materials\morrowind\tx_rope_brown_02.mat,
Seyda Neen,ex_nord_doorf_01,True,-10259.499,-71622.35,238.63193,-512974.95,-3581117.5000000005,11931.5965,0.0,0.0,225.00001048585867,True,Data\Materials\morrowind\tx_stone_plain_01.mat,
Seyda Neen,ex_nord_doorf_01,True,-9837.021,-71490.234,246.95604,-491851.05000000005,-3574511.6999999997,12347.802,0.0,0.0,45.00000209717174,True,Data\Materials\morrowind\tx_stone_plain_01.mat,
