OK: door_icon (0.1s, 448 bytes)
OK: tx_ash_firepit (0.0s, 11040 bytes)
OK: tx_ashpile00 (0.0s, 11040 bytes)
OK: tx_bc_bank (0.0s, 43808 bytes)
OK: tx_bc_bark_01 (0.0s, 43808 bytes)
OK: tx_bc_bark_02 (0.0s, 43808 bytes)
OK: tx_bc_bark_03 (0.0s, 43808 bytes)
OK: tx_bc_bark_04 (0.0s, 11008 bytes)
OK: tx_bc_fern_01 (0.0s, 11008 bytes)
OK: tx_bc_fern_02 (0.0s, 43776 bytes)
OK: tx_bc_fern_pod (0.0s, 2848 bytes)
OK: tx_bc_fern_stem (0.0s, 2848 bytes)
OK: tx_bc_fungusbottom_01 (0.0s, 11040 bytes)
OK: tx_bc_fungusbottom_02 (0.0s, 11040 bytes)
OK: tx_bc_fungustop_01 (0.0s, 11040 bytes)
OK: tx_bc_fungustop_02 (0.0s, 11040 bytes)
OK: tx_bc_grassblade (0.0s, 2816 bytes)
OK: tx_bc_leaves_02 (0.0s, 87488 bytes)
OK: tx_bc_lilypad_02 (0.0s, 21952 bytes)
OK: tx_bc_moss_01 (0.0s, 43776 bytes)
OK: tx_bc_moss_02 (0.0s, 43776 bytes)
OK: tx_bc_moss_03 (0.0s, 21888 bytes)
OK: tx_bc_mushroom_01 (0.0s, 11040 bytes)
OK: tx_bc_mushroom_02 (0.0s, 2816 bytes)
OK: tx_bc_mushroom_03 (0.0s, 2848 bytes)
OK: tx_bc_mushroom_04 (0.0s, 11040 bytes)
OK: tx_bc_podplant_01 (0.0s, 1472 bytes)
OK: tx_bc_podplant_02 (0.0s, 1472 bytes)
OK: tx_bc_podplant_03 (0.0s, 5568 bytes)
OK: tx_bc_podplant_04 (0.0s, 768 bytes)
OK: tx_bc_rock_03 (0.0s, 43808 bytes)
OK: tx_bc_scum (0.0s, 43808 bytes)
OK: tx_bittergreen_01 (0.0s, 5568 bytes)
OK: tx_border_metal_bronze_01 (0.0s, 2816 bytes)
OK: tx_bottle_09 (0.0s, 1472 bytes)
OK: tx_bottle_10 (0.0s, 1472 bytes)
OK: tx_breadloaf_01 (0.0s, 11040 bytes)
OK: tx_c_t_thief_01 (0.0s, 174848 bytes)
OK: tx_c_t_warrior_01 (0.0s, 174848 bytes)
OK: tx_c_t_wizard_01 (0.0s, 174848 bytes)
OK: tx_carvedwood_beam_01 (0.0s, 5504 bytes)
OK: tx_carvedwood_detail_knots (0.0s, 5568 bytes)
OK: tx_coinside_01 (0.0s, 288 bytes)
